action,project_id,file_ext,file_size,file_name,rel_path,reason,existing_ids,job_id,storage_path,legacy_storage_path
legacy_title_match,MAD,.docx,28886,RESUMEN CARPETAS Project.docx,0. GEMSWELL VENTURES SL/Project/RESUMEN CARPETAS Project.docx,legacy title/project match has NULL source_hash; skipped by default to avoid duplicates,d87446d1-3af8-43d5-80d9-3483cb6df92b,,uploads/41900cfd-400a-42e2-a4a5-6a09ea01f8a4/RESUMEN CARPETAS Project.docx,uploads/41900cfd-400a-42e2-a4a5-6a09ea01f8a4/RESUMEN CARPETAS Project.docx
job_exists,GVF,.docx,35810,Acta aprobación CCAA'24 GEMSWELL.DOCX,0. GEMSWELL VENTURES SL/SL/Accounts. Administration/2024/CCAA/Borradores/Acta aprobación CCAA'24 GEMSWELL.DOCX,existing ingest job is queued,,67936169-ad68-47a0-82e3-29e73d16fd44,uploads/1bf915bc-6116-4243-b38e-1a4d4b663870/Acta aprobacion CCAA_24 GEMSWELL.DOCX,uploads/1bf915bc-6116-4243-b38e-1a4d4b663870/Acta aprobación CCAA'24 GEMSWELL.DOCX
already_indexed_hash,GVF,.pdf,421472,GEMSWELL VENTURES EE CC 2024.pdf,0. GEMSWELL VENTURES SL/SL/Accounts. Administration/2024/CCAA/Borradores/Enviado Enric/GEMSWELL VENTURES EE CC 2024.pdf,same source_hash/project already indexed,b1bdd2fd-7bd3-4aa4-a30c-b5dfd6f53f1d,,uploads/1a6490f0-cce9-44b5-b3c4-3a8b6637b0c0/GEMSWELL VENTURES EE CC 2024.pdf,uploads/1a6490f0-cce9-44b5-b3c4-3a8b6637b0c0/GEMSWELL VENTURES EE CC 2024.pdf
already_indexed_hash,GVF,.pdf,114024,GEMSWELL VENTURES HUELLA 2024.pdf,0. GEMSWELL VENTURES SL/SL/Accounts. Administration/2024/CCAA/Borradores/Enviado Enric/GEMSWELL VENTURES HUELLA 2024.pdf,same source_hash/project already indexed,7ad08973-4114-432d-8e09-43077109dc50,,uploads/e30bcff6-99c4-4935-a0c2-6931265721ad/GEMSWELL VENTURES HUELLA 2024.pdf,uploads/e30bcff6-99c4-4935-a0c2-6931265721ad/GEMSWELL VENTURES HUELLA 2024.pdf
already_indexed_hash,GVF,.pdf,497118,GEMSWELL VENTURES MEMORIA 2024.pdf,0. GEMSWELL VENTURES SL/SL/Accounts. Administration/2024/CCAA/Borradores/Enviado Enric/GEMSWELL VENTURES MEMORIA 2024.pdf,same source_hash/project already indexed,65397b7f-cd0c-48c5-b2fe-c3e2b67786db,,uploads/25fc5cf7-bbdd-4e0b-ba25-155344371a9f/GEMSWELL VENTURES MEMORIA 2024.pdf,uploads/25fc5cf7-bbdd-4e0b-ba25-155344371a9f/GEMSWELL VENTURES MEMORIA 2024.pdf
job_exists,GVF,.pdf,125771,Acta aprobación CCAA'24 GEMSWELL.pdf,0. GEMSWELL VENTURES SL/SL/Accounts. Administration/2024/CCAA/Borradores/Acta aprobación CCAA'24 GEMSWELL.pdf,existing ingest job is queued,,167ae436-240c-4311-9898-a54630223e1c,uploads/52d30096-eb0e-43f4-90c7-52689c3ec1a7/Acta aprobacion CCAA_24 GEMSWELL.pdf,uploads/52d30096-eb0e-43f4-90c7-52689c3ec1a7/Acta aprobación CCAA'24 GEMSWELL.pdf
already_indexed_hash,GVF,.pdf,2300305,CCAA 2024 Gemswell.pdf,0. GEMSWELL VENTURES SL/SL/Accounts. Administration/2024/CCAA/Borradores/CCAA 2024 Gemswell.pdf,same source_hash/project already indexed,1615b870-b2d5-4be5-b681-60ae659c1fe0,,uploads/9c2daaf9-b895-498e-b79c-181d4761abeb/CCAA 2024 Gemswell.pdf,uploads/9c2daaf9-b895-498e-b79c-181d4761abeb/CCAA 2024 Gemswell.pdf
job_exists,GVF,.doc,51712,Certificado Jta aprobación CCAA'24 GEMSWELL.doc,0. GEMSWELL VENTURES SL/SL/Accounts. Administration/2024/CCAA/Borradores/Certificado Jta aprobación CCAA'24 GEMSWELL.doc,existing ingest job is queued,,95a693de-56d1-42dd-a2b4-1f57e20ef5e2,uploads/c33562b9-3df3-4bf8-b9b7-413277cde9f0/Certificado Jta aprobacion CCAA_24 GEMSWELL.doc,uploads/c33562b9-3df3-4bf8-b9b7-413277cde9f0/Certificado Jta aprobación CCAA'24 GEMSWELL.doc
job_exists,GVF,.pdf,94025,Certificado Jta aprobación CCAA'24 GEMSWELL.pdf,0. GEMSWELL VENTURES SL/SL/Accounts. Administration/2024/CCAA/Borradores/Certificado Jta aprobación CCAA'24 GEMSWELL.pdf,existing ingest job is queued,,cf6af8af-fcf6-49de-8f1d-b5f3d86350b1,uploads/8643435e-f3af-4a02-afa9-5980bb11213d/Certificado Jta aprobacion CCAA_24 GEMSWELL.pdf,uploads/8643435e-f3af-4a02-afa9-5980bb11213d/Certificado Jta aprobación CCAA'24 GEMSWELL.pdf
already_indexed_hash,GVF,.pdf,4607252,DTR GEMSWELL VENTURES S.L (002).pdf,0. GEMSWELL VENTURES SL/SL/Accounts. Administration/2024/CCAA/Borradores/DTR GEMSWELL VENTURES S.L (002).pdf,same source_hash/project already indexed,a816feab-5979-4be4-b753-5703df28ba2c,,uploads/828c8611-0a5a-4058-8955-046ceef51f9a/DTR GEMSWELL VENTURES S.L (002).pdf,uploads/828c8611-0a5a-4058-8955-046ceef51f9a/DTR GEMSWELL VENTURES S.L (002).pdf
